team_id,total_score,num_games,wins,losses,power,overall_rank,recent_opponent_1,recent_opponent_2,recent_opponent_3,recent_opponent_4,recent_opponent_5,div_rank,last_rank
Custer County Jv,0,0,0,0,249.63467,-1,0,0,0,0,0,-1,0
Del Norte Jv,0,0,0,0,249.19745,-1,0,0,0,0,0,-1,0
Belleview Christian,0,0,5,18,249.0198854,311,109,612,356,215,348,50,0
Lake County,0,0,7,16,248.8459558,312,417,183,510,269,192,49,0
Kipp,0,0,11,11,248.7114623,313,1149,1151,51,648,540,50,0
Woodland Park,0,0,0,22,248.665351,314,547,313,708,102,1152,47,0
Pagosa Springs Jv,0,0,0,0,248.51356,-1,0,0,0,0,0,-1,0
Rocky Mountain Smart,0,0,7,16,248.3813403,315,206,1220,648,672,206,48,0
Air Academy JV,0,0,0,0,248.3565,-1,0,0,0,0,0,-1,0
Olathe Jv,0,0,0,0,248.04355,-1,0,0,0,0,0,-1,0
Hyland Christian,0,0,0,0,247.82784,-1,0,0,0,0,0,-1,0
Pritchett,0,0,0,0,247.41369,-1,0,0,0,0,0,-1,0
Telluride,0,0,6,17,247.2239536,316,188,231,123,230,118,51,0
Newcomb NM,0,0,0,0,247.21355,-1,0,0,0,0,0,-1,0
Dawson,0,0,5,16,246.7766645,317,612,134,222,171,624,52,0
DMLK,0,0,7,13,246.7071301,318,648,51,1151,21,26,49,0
Monument Academy,0,0,8,8,245.3987691,319,635,253,206,164,223,51,0
Liberty Jv,0,0,0,0,245.01296,-1,0,0,0,0,0,-1,0
Trinidad Jv,0,0,0,0,244.92899,-1,0,0,0,0,0,-1,0
Banner County NE,0,0,0,2,244.5510285,-1,284,281,284,281,284,-1,0
Midland Academy MI,0,0,0,2,244.3693286,-1,202,202,202,202,202,-1,0
Triplains KS,0,0,0,1,244.1523417,-1,285,285,285,285,285,-1,0
Pueblo South Jv,0,0,0,0,244.08067,-1,0,0,0,0,0,-1,0
